scientificName,type,size,ALSK,ANTA,APLR,ARAB,ARCH,ARCT,AUSE,AUSW,BENG,BERS,BPLR,BRAZ,CAMR,CARB,CCAL,CHIL,CHIN,CNRY,EAFR,ETRA,FKLD,GFST,GUIA,GUIN,INDE,INDW,ISSG,KURO,MEDI,MONS,NADR,NASE,NASW,NATR,NECS,NEWZ,NPPF,NPSW,NPTG,NWCS,PEQD,PNEC,PSAE,PSAW,REDS,SANT,SARC,SATL,SPSG,SSTC,SUND,TASM,WARM,WTRA
Phyllostaurus quadrangulus,eSNCM,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllostaurus siculus,eSNCM,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physematium muelleri,eSNCM,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plegmosphaera sp,eSNCM,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podolampas bipes,eSNCM,120,0,0,0,4,25,0,50,0,0,0,0,0,12,25,1,1056,2,4,0,0,0,0,14,0,2,3,1,6,35,0,2,1,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,2,55,2,5,3,5,1
Podolampas reticulata,eSNCM,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polykrikos hartmannii,CM,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polykrikos lebourae,CM,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polykrikos tanit,CM,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polysolenia setosa,eSNCM,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
